trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
isolated-t001-baseline,isolated,1,baseline,0.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-sigma-00,isolated,1,sigma,0.75,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.700789422624314e-07,4.448988203291794e-06,6.103515625e-05,0.9999999999901109
isolated-t001-sigma-02,isolated,1,sigma,1.25,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.473792857300836e-06,4.57763671875e-05,0.9999999999969418
isolated-t001-intensitythreshold-00,isolated,1,intensitythreshold,7.2,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-intensitythreshold-02,isolated,1,intensitythreshold,45.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-00,isolated,1,boundary_percent,0.2,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-02,isolated,1,boundary_percent,0.65,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
close_pair-t001-baseline,close_pair,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-sigma-00,close_pair,1,sigma,0.75,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.282317409874122e-07,3.1900832286254164e-06,6.103515625e-05,0.9999999999949275
close_pair-t001-sigma-02,close_pair,1,sigma,1.25,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0439932320815737e-07,1.7379014802864667e-06,4.57763671875e-05,0.9999999999984927
close_pair-t001-intensitythreshold-00,close_pair,1,intensitythreshold,7.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-intensitythreshold-02,close_pair,1,intensitythreshold,45.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-boundary_percent-00,close_pair,1,boundary_percent,0.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-boundary_percent-02,close_pair,1,boundary_percent,0.65,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
division-t004-baseline,division,4,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-sigma-00,division,4,sigma,0.75,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.604242546267514e-07,4.8260781801590324e-06,4.57763671875e-05,0.9999999999883668
division-t004-sigma-02,division,4,sigma,1.25,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,3.041332373715631e-06,4.57763671875e-05,0.9999999999953776
division-t004-intensitythreshold-00,division,4,intensitythreshold,7.2,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-intensitythreshold-02,division,4,intensitythreshold,45.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-00,division,4,boundary_percent,0.2,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,3.0778056968952327e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
division-t004-boundary_percent-02,division,4,boundary_percent,0.65,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.122563546162387e-07,4.225968046811182e-06,4.57763671875e-05,0.9999999999910784
