trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
isolated-t001-baseline,isolated,1,baseline,0.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-sigma-00,isolated,1,sigma,0.6,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.154030290686231e-07,9.544829805177764e-06,6.103515625e-05,0.9999999999544501
isolated-t001-sigma-01,isolated,1,sigma,0.8,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.063118309575277e-07,3.176196748660766e-06,6.103515625e-05,0.9999999999949638
isolated-t001-sigma-03,isolated,1,sigma,1.2,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.7446628078851233e-07,2.6827106968331793e-06,4.57763671875e-05,0.9999999999964062
isolated-t001-sigma-04,isolated,1,sigma,1.4,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.473792857300836e-06,4.57763671875e-05,0.9999999999969418
isolated-t001-intensitythreshold-00,isolated,1,intensitythreshold,4.5,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-intensitythreshold-01,isolated,1,intensitythreshold,9.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-intensitythreshold-03,isolated,1,intensitythreshold,36.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-intensitythreshold-04,isolated,1,intensitythreshold,72.0,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-00,isolated,1,boundary_percent,0.15,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-01,isolated,1,boundary_percent,0.25,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-03,isolated,1,boundary_percent,0.5,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-04,isolated,1,boundary_percent,0.7,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
isolated-t001-boundary_percent-05,isolated,1,boundary_percent,0.85,1,1,1,0.25,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.9672879361969177e-07,3.448200339910947e-06,4.57763671875e-05,0.9999999999940717
close_pair-t001-baseline,close_pair,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.097681133019719e-07,2.576934113831589e-06,6.103515625e-05,0.9999999999966841
close_pair-t001-sigma-00,close_pair,1,sigma,0.6,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.665882394947882e-06,6.103515625e-05,0.9999999999706249
