trial_id,scenario,frame,sweep,parameter_value,matlab_detection_count,python_detection_count,truth_count,engine_matching_tolerance_um,matched_count,engine_f1,matlab_truth_f1,python_truth_f1,centroid_rmse_um,diameter_mae_px,diameter_signed_bias_px,diameter_p95_relative_error,diameter_reference_coverage,quality_p95_relative_error,filter_relative_l2,filter_max_absolute_error,filter_correlation
noise-s00-n0-t001-baseline,noise-s00-n0,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,1.0,3.814697265625e-05,
pair-s00-n0-d3p5-t001-baseline,pair-s00-n0-d3p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,2.033662813824677e-07,6.275120148561743e-06,6.103515625e-05,0.999999999993211
pair-s00-n0-d4-t001-baseline,pair-s00-n0-d4,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,2.2424375475536912e-07,6.549716888183862e-06,4.57763671875e-05,0.9999999999926306
pair-s00-n0-d4p5-t001-baseline,pair-s00-n0-d4p5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,7.533164757846419e-07,6.806475576911521e-06,4.57763671875e-05,0.9999999999918141
pair-s00-n0-d5-t001-baseline,pair-s00-n0-d5,1,baseline,0.0,1,1,2,0.25,1,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,5.658632257655635e-07,7.094646722200382e-06,4.57763671875e-05,0.999999999991218
pair-s00-n0-d5p5-t001-baseline,pair-s00-n0-d5p5,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.096592224195388e-07,7.298666063988867e-06,4.57763671875e-05,0.9999999999904853
pair-s00-n0-d6-t001-baseline,pair-s00-n0-d6,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0314401829841115e-07,7.473270084839344e-06,4.57763671875e-05,0.9999999999901761
pair-s00-n0-d7-t001-baseline,pair-s00-n0-d7,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.242335602119999e-07,7.641466581326946e-06,4.57763671875e-05,0.9999999999893875
pair-s00-n0-d8-t001-baseline,pair-s00-n0-d8,1,baseline,0.0,2,2,2,0.25,2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.9743380375881183e-07,7.603268293114204e-06,4.57763671875e-05,0.9999999999894383
noise-s00-n5-t001-baseline,noise-s00-n5,1,baseline,0.0,0,0,0,0.25,0,1.0,1.0,1.0,,,,,1.0,,2.6800000494690986e-05,3.0517578125e-05,0.9999999996411002
